question,expected_answer
"What makes an agreement a contract under Indian law?","All agreements are contracts if they are made by the free consent of parties competent to contract, for a lawful consideration and with a lawful object, and are not expressly declared to be void."
"What is consideration under the Indian Contract Act?","An agreement made without consideration is void, unless it is expressed in writing and registered and is made on account of natural love and affection between parties standing in a near relation, or is a promise to compensate a person who has voluntarily done something for the promisor, or is a promise to pay a debt barred by limitation."
"What is the doctrine of frustration of contract?","An agreement to do an act impossible in itself is void. A contract to do an act which after the contract is made becomes impossible, or by reason of some event which the promisor could not prevent unlawful, becomes void when the act becomes impossible or unlawful."
"Can damages be claimed for breach of contract?","When a contract has been broken, the party who suffers by such breach is entitled to receive from the party who has broken the contract compensation for any loss or damage caused to him thereby which naturally arose in the usual course of things from such breach, or which the parties knew when they made the contract to be likely to result from the breach."
"What is res judicata under the CPC?","No Court shall try any suit or issue in which the matter directly and substantially in issue has been directly and substantially in issue in a former suit between the same parties, or between parties under whom they or any of them claim, litigating under the same title, in a Court competent to try such subsequent suit, and has been heard and finally decided by such Court."
"When can an arbitral award be set aside?","An arbitral award may be set aside by the Court only if the party making the application establishes that it was under some incapacity, the arbitration agreement is not valid, proper notice was not given, the award deals with a dispute not contemplated by the submission, the composition of the tribunal was not in accordance with the agreement, or the award is in conflict with the public policy of India."
"What is the time limit for an RTI application response?","The Central Public Information Officer or State Public Information Officer shall, as expeditiously as possible, and in any case within thirty days of the receipt of the request, either provide the information on payment of such fee as may be prescribed or reject the request for any of the reasons specified in sections 8 and 9."
"What are the duties of directors under the Companies Act?","A director of a company shall act in accordance with the articles of the company, in good faith to promote the objects of the company for the benefit of its members, in the best interests of the company and its stakeholders, with due and reasonable care, skill and diligence, exercise independent judgment, avoid conflicts of interest, and not achieve undue gain."
"What is part performance under the Transfer of Property Act?","Where any person contracts to transfer for consideration any immoveable property by writing signed by him from which the terms necessary to constitute the transfer can be ascertained with reasonable certainty, and the transferee has, in part performance of the contract, taken possession of the property and has performed or is willing to perform his part of the contract, then the transferor shall be debarred from enforcing against the transferee any right in respect of the property of which the transferee has taken possession."
"What is the term of copyright in India?","Copyright shall subsist in any literary, dramatic, musical or artistic work published within the lifetime of the author until sixty years from the beginning of the calendar year next following the year in which the author dies."
"What constitutes domestic violence under PWDVA?","Any act, omission, commission or conduct of the respondent shall constitute domestic violence in case it harms or injures or endangers the health, safety, life, limb or well-being, whether mental or physical, of the aggrieved person, and includes causing physical abuse, sexual abuse, verbal and emotional abuse and economic abuse."
"When is a trademark infringed?","A registered trade mark is infringed by a person who, not being a registered proprietor or a permitted user, uses in the course of trade a mark which is identical with or deceptively similar to the trade mark in relation to goods or services in respect of which the trade mark is registered, in such manner as to render the use of the mark likely to be taken as being used as a trade mark."
"What is a compulsory licence under the Patents Act?","At any time after the expiration of three years from the date of grant of a patent, any person interested may make an application to the Controller for grant of compulsory licence on patent on grounds that the reasonable requirements of the public have not been satisfied, or that the patented invention is not available at a reasonably affordable price, or that the patented invention is not worked in the territory of India."
